design,inquiry,estimator,outcome,term,communities_per_arm,effect_size_matching,diagnosand,estimate,std.error,conf.low,conf.high
design_7,ATE,Matched CEM,Y,Z,5,0.3,bias,0.004122459072228151,0.008173122548266312,-0.012630084512604072,0.01772262137689832
design_7,ATE,Matched CEM,Y,Z,5,0.3,sd_estimate,0.17998650738359506,0.005472984458078959,0.16872610831043006,0.1888764484542555
design_7,ATE,Matched CEM,Y,Z,5,0.3,rmse,0.17985368281819203,0.0054727767361511135,0.16885256290665496,0.1889862009415937
design_7,ATE,Matched CEM,Y,Z,5,0.3,power,0.444,0.023155826982259202,0.4,0.4921
design_7,ATE,Matched CEM,Y,Z,5,0.3,coverage,0.864,0.016487264751616607,0.83495,0.8941
design_8,ATE,Matched CEM,Y,Z,30,0.3,mean_estimand,0.3,0,0.3,0.3
design_8,ATE,Matched CEM,Y,Z,30,0.3,mean_estimate,0.31101980536495416,0.004936444092475291,0.3007530668743905,0.3187710942043641
design_8,ATE,Matched CEM,Y,Z,30,0.3,bias,0.01101980536495415,0.004936444092475291,7.530668743905506e-4,0.018771094204364083
design_8,ATE,Matched CEM,Y,Z,30,0.3,sd_estimate,0.1112813115305636,0.003211212781823745,0.10523145858054352,0.11703636637536538
design_8,ATE,Matched CEM,Y,Z,30,0.3,rmse,0.11171481256150366,0.0031782702422711072,0.10561164183839383,0.11707921009948928
design_8,ATE,Matched CEM,Y,Z,30,0.3,power,0.956,0.010286619729267017,0.93495,0.976
design_8,ATE,Matched CEM,Y,Z,30,0.3,coverage,0.658,0.01952646481785242,0.62285,0.7001
design_9,ATE,Matched CEM,Y,Z,50,0.3,mean_estimand,0.3,0,0.3,0.3
design_9,ATE,Matched CEM,Y,Z,50,0.3,mean_estimate,0.31994365549498577,0.004614332128575447,0.3124202364600632,0.32925926618419593
design_9,ATE,Matched CEM,Y,Z,50,0.3,bias,0.019943655494985765,0.0046143321285754485,0.012420236460063266,0.029259266184195963
design_9,ATE,Matched CEM,Y,Z,50,0.3,sd_estimate,0.10570581076257707,0.0032789264689534196,0.09820546662304097,0.11112014577206883
design_9,ATE,Matched CEM,Y,Z,50,0.3,rmse,0.1074668338912917,0.003423566334264825,0.10017957139747118,0.11293694448605462
design_9,ATE,Matched CEM,Y,Z,50,0.3,power,0.982,0.005881626930836009,0.968,0.99
design_9,ATE,Matched CEM,Y,Z,50,0.3,coverage,0.584,0.02427482380383162,0.53895,0.626
