design,inquiry,estimator,term,effect_size_dd,rho_dd,diagnosand,estimate,std.error,conf.low,conf.high
design_7,ATE,2FE,Z,100,0.9,mean_estimate,101.43395806104672,1.9956835740649934,97.65223742400235,105.09942495431416
design_7,ATE,2FE,Z,100,0.9,bias,1.4339580610467164,1.995683574064994,-2.3477625759976632,5.099424954314166
design_7,ATE,2FE,Z,100,0.9,sd_estimate,49.55786624919201,1.4426291668149207,46.63489110841523,52.31983759638686
design_7,ATE,2FE,Z,100,0.9,rmse,49.52904580828607,1.4333061303849046,46.63206520960073,52.38319342260584
design_7,ATE,2FE,Z,100,0.9,power,0.592,0.02038097746488726,0.54895,0.62305
design_7,ATE,2FE,Z,100,0.9,coverage,0.992,0.0037118429085533514,0.984,0.998
design_8,ATE,2FE,Z,150,0.9,mean_estimand,150,0,150,150
design_8,ATE,2FE,Z,150,0.9,mean_estimate,149.13525938901066,2.0351362858249944,145.33398697619353,153.24238422007022
design_8,ATE,2FE,Z,150,0.9,bias,-0.864740610989335,2.035136285824994,-4.666013023806475,3.242384220070202
design_8,ATE,2FE,Z,150,0.9,sd_estimate,47.1932351579926,1.4048599474888488,44.23501999861185,49.92724970207182
design_8,ATE,2FE,Z,150,0.9,rmse,47.15394806495558,1.403764537256129,44.43089150877803,49.99332814108473
design_8,ATE,2FE,Z,150,0.9,power,0.828,0.016084574453604138,0.79495,0.852
design_8,ATE,2FE,Z,150,0.9,coverage,0.986,0.004818944098266991,0.97695,0.994
design_9,ATE,2FE,Z,200,0.9,mean_estimand,200,0,200,200
design_9,ATE,2FE,Z,200,0.9,mean_estimate,196.11973046401792,2.1014353044805025,191.8141363103731,199.33816602555765
design_9,ATE,2FE,Z,200,0.9,bias,-3.8802695359820927,2.1014353044805025,-8.18586368962689,-0.6618339744423464
design_9,ATE,2FE,Z,200,0.9,sd_estimate,49.57229270685705,1.3845498082668057,46.823419432584835,52.09434449923589
design_9,ATE,2FE,Z,200,0.9,rmse,49.674479076058304,1.4388190744449911,46.8885461264459,52.430193887995756
design_9,ATE,2FE,Z,200,0.9,power,0.92,0.014482744870703857,0.888,0.94505
design_9,ATE,2FE,Z,200,0.9,coverage,0.99,0.00404315108635217,0.98295,0.998
