design,inquiry,estimator,outcome,term,rho,diagnosand,estimate,std.error,conf.low,conf.high
design_2,ATE,Matched CEM,Y,Z,0.25,rmse,0.14886270712112665,0.004607550333808871,0.14017799848743823,0.15765855033740972
design_2,ATE,Matched CEM,Y,Z,0.25,power,0.232,0.017753997984804565,0.19895000000000002,0.26505
design_2,ATE,Matched CEM,Y,Z,0.25,coverage,0.838,0.017764099535952625,0.8039000000000001,0.8661
design_2,ATE,Matched PSM,Y,Z,0.25,mean_estimand,0.1,0,0.1,0.1
design_2,ATE,Matched PSM,Y,Z,0.25,mean_estimate,0.12162000000000002,0.006918629078309685,0.10919750000000003,0.1341255
design_2,ATE,Matched PSM,Y,Z,0.25,bias,0.021620000000000014,0.006918629078309685,0.009197500000000018,0.0341255
design_2,ATE,Matched PSM,Y,Z,0.25,sd_estimate,0.1505633229855695,0.004011034963219256,0.1420887884271089,0.1580951688097133
design_2,ATE,Matched PSM,Y,Z,0.25,rmse,0.1519585469791022,0.004092238715676327,0.14358009518874176,0.15971705562855976
design_2,ATE,Matched PSM,Y,Z,0.25,power,0.292,0.0207917913095189,0.2519,0.328
design_2,ATE,Matched PSM,Y,Z,0.25,coverage,0.812,0.017002376542142778,0.78095,0.84505
design_2,ATE,Not matched,Y,Z,0.25,mean_estimand,0.1,0,0.1,0.1
design_2,ATE,Not matched,Y,Z,0.25,mean_estimate,0.13061333333333325,0.006874722939014739,0.11836716666666659,0.14438216666666656
design_2,ATE,Not matched,Y,Z,0.25,bias,0.030613333333333242,0.006874722939014739,0.018367166666666587,0.044382166666666556
design_2,ATE,Not matched,Y,Z,0.25,sd_estimate,0.15486722766711963,0.004394845380473612,0.14622480317070996,0.16315503109992185
design_2,ATE,Not matched,Y,Z,0.25,rmse,0.1577119737580715,0.004336590693071158,0.1483919806366066,0.16614992292981418
design_2,ATE,Not matched,Y,Z,0.25,power,0.358,0.018665486975710115,0.3199,0.40029999999999993
design_2,ATE,Not matched,Y,Z,0.25,coverage,0.782,0.016868067973888342,0.7499,0.81105
design_3,ATE,Matched CEM,Y,Z,0.5,mean_estimand,0.1,0,0.1,0.1
design_3,ATE,Matched CEM,Y,Z,0.5,mean_estimate,0.09872649388018585,0.007509299590559047,0.08394099066757967,0.11118416588270105
design_3,ATE,Matched CEM,Y,Z,0.5,bias,-0.0012735061198141467,0.007509299590559047,-0.01605900933242034,0.011184165882701044
design_3,ATE,Matched CEM,Y,Z,0.5,sd_estimate,0.1608816212263927,0.00481441141427585,0.15156672481135003,0.1697852688501928
design_3,ATE,Matched CEM,Y,Z,0.5,rmse,0.16072570446002976,0.0048308382457741056,0.15159837949383922,0.16984630132556985
design_3,ATE,Matched CEM,Y,Z,0.5,power,0.182,0.017294174881979332,0.1439,0.22009999999999996
design_3,ATE,Matched CEM,Y,Z,0.5,coverage,0.842,0.014856335586903899,0.8129500000000001,0.866
design_3,ATE,Matched PSM,Y,Z,0.5,mean_estimand,0.1,0,0.1,0.1
design_3,ATE,Matched PSM,Y,Z,0.5,mean_estimate,0.13198000000000001,0.007977834333104734,0.11529900000000001,0.1456675
design_3,ATE,Matched PSM,Y,Z,0.5,bias,0.03198,0.007977834333104734,0.015299,0.0456675
design_3,ATE,Matched PSM,Y,Z,0.5,sd_estimate,0.1581109665883775,0.004517137766249107,0.148557664146129,0.16554318528996825
design_3,ATE,Matched PSM,Y,Z,0.5,rmse,0.16115768675430905,0.004875871228385489,0.15120272692383396,0.16963083590440542
design_3,ATE,Matched PSM,Y,Z,0.5,power,0.314,0.02197394232754199,0.27180000000000004,0.35419999999999996
design_3,ATE,Matched PSM,Y,Z,0.5,coverage,0.814,0.017097829031071654,0.778,0.84305
design_3,ATE,Not matched,Y,Z,0.5,mean_estimand,0.1,0,0.1,0.1
design_3,ATE,Not matched,Y,Z,0.5,mean_estimate,0.16489333333333323,0.008115355748643938,0.14917183333333323,0.17930799999999986
design_3,ATE,Not matched,Y,Z,0.5,bias,0.06489333333333322,0.008115355748643936,0.049171833333333234,0.07930799999999988
design_3,ATE,Not matched,Y,Z,0.5,sd_estimate,0.15968506691844742,0.004736901067794615,0.1510078255463812,0.1683462472779592
design_3,ATE,Not matched,Y,Z,0.5,rmse,0.17221924011755083,0.0054197101134332,0.16163839612188968,0.18226657218093223
design_3,ATE,Not matched,Y,Z,0.5,power,0.408,0.023920744557852293,0.3618,0.448
design_3,ATE,Not matched,Y,Z,0.5,coverage,0.74,0.02121652681522145,0.6999,0.7801
design_4,ATE,Matched CEM,Y,Z,0.75,mean_estimand,0.1,0,0.1,0.1
design_4,ATE,Matched CEM,Y,Z,0.75,mean_estimate,0.10884767765685532,0.007832188530093457,0.09260697259551229,0.12340362877606845
design_4,ATE,Matched CEM,Y,Z,0.75,bias,0.008847677656855325,0.007832188530093459,-0.007393027404487728,0.023403628776068452
design_4,ATE,Matched CEM,Y,Z,0.75,sd_estimate,0.16624010615472593,0.005288868124989065,0.15751962144896237,0.17586403817214646
design_4,ATE,Matched CEM,Y,Z,0.75,rmse,0.16630929844258707,0.0053612008834433254,0.1575056694955293,0.17672948493814244
design_4,ATE,Matched CEM,Y,Z,0.75,power,0.194,0.017234344381572113,0.16390000000000002,0.23
design_4,ATE,Matched CEM,Y,Z,0.75,coverage,0.86,0.015589312578387384,0.83295,0.888
design_4,ATE,Matched PSM,Y,Z,0.75,mean_estimand,0.1,0,0.1,0.1
design_4,ATE,Matched PSM,Y,Z,0.75,mean_estimate,0.16730000000000003,0.006981367927663899,0.15548350000000002,0.18043350000000002
design_4,ATE,Matched PSM,Y,Z,0.75,bias,0.06730000000000001,0.006981367927663901,0.05548350000000002,0.08043350000000002
design_4,ATE,Matched PSM,Y,Z,0.75,sd_estimate,0.16187067130415234,0.00448233537399734,0.1537882403964964,0.17054477652827071
design_4,ATE,Matched PSM,Y,Z,0.75,rmse,0.17515421776251924,0.004897191434945396,0.16642245334045416,0.1859952237444006
design_4,ATE,Matched PSM,Y,Z,0.75,power,0.374,0.021575331967201565,0.33675000000000005,0.4160999999999999
design_4,ATE,Matched PSM,Y,Z,0.75,coverage,0.746,0.01907953581376359,0.698,0.772
design_4,ATE,Not matched,Y,Z,0.75,mean_estimand,0.1,0,0.1,0.1
design_4,ATE,Not matched,Y,Z,0.75,mean_estimate,0.21752666666666653,0.006682533272347165,0.20338999999999985,0.2283984999999999
design_4,ATE,Not matched,Y,Z,0.75,bias,0.11752666666666653,0.006682533272347165,0.10338999999999984,0.12839849999999986
design_4,ATE,Not matched,Y,Z,0.75,sd_estimate,0.15534345897771482,0.004803822772119466,0.146582381230763,0.16454476632344234
design_4,ATE,Not matched,Y,Z,0.75,rmse,0.19466855021919793,0.005235632293850769,0.1856051558933838,0.2062352743179346
design_4,ATE,Not matched,Y,Z,0.75,power,0.522,0.021970080665405956,0.482,0.56905
design_4,ATE,Not matched,Y,Z,0.75,coverage,0.686,0.01964635828695468,0.6479,0.7161
